Año,Mes,Día,T,H,PP
1973.0,1.0,1.0,15.0,84.0,0
1973.0,1.0,2.0,13.5,83.0,0
1973.0,1.0,3.0,22.3,76.0,0
1973.0,1.0,30.0,11.5,79.0,0
1973.0,2.0,2.0,10.0,83.0,0
1973.0,2.0,5.0,23.2,72.0,0
1973.0,2.0,6.0,17.6,70.0,0
1973.0,2.0,11.0,16.6,77.0,0
1973.0,2.0,12.0,16.0,76.0,0
1973.0,2.0,13.0,16.0,76.0,0
1973.0,2.0,21.0,18.0,84.0,0
1973.0,2.0,23.0,21.6,77.0,0
1973.0,2.0,24.0,16.9,74.0,0
1973.0,2.0,28.0,19.6,74.0,0
1973.0,3.0,2.0,18.2,78.0,0
1973.0,3.0,4.0,17.4,74.0,0
1973.0,3.0,5.0,19.2,76.0,1
1973.0,3.0,10.0,18.2,70.0,0
1973.0,3.0,11.0,15.3,67.0,0
1973.0,3.0,12.0,22.0,72.0,0
1973.0,3.0,16.0,19.2,73.0,0
1973.0,3.0,17.0,16.0,82.0,0
1973.0,3.0,18.0,19.7,75.0,0
1973.0,3.0,22.0,24.0,78.0,0
1973.0,3.0,23.0,17.2,81.0,1
1973.0,3.0,24.0,17.3,79.0,0
1973.0,3.0,28.0,20.8,80.0,0
1973.0,3.0,31.0,19.2,68.0,0
1973.0,4.0,3.0,18.0,76.0,0
1973.0,4.0,4.0,19.0,75.0,0
1973.0,4.0,5.0,15.7,83.0,0
1973.0,4.0,10.0,22.3,63.0,0
1973.0,4.0,11.0,19.0,69.0,1
1973.0,4.0,12.0,19.4,70.0,1
1973.0,4.0,17.0,17.6,78.0,0
1973.0,4.0,18.0,20.5,72.0,1
1973.0,4.0,19.0,20.8,74.0,0
1973.0,4.0,24.0,25.0,67.0,0
1973.0,4.0,25.0,20.3,69.0,0
1973.0,4.0,26.0,20.0,72.0,0
1973.0,5.0,2.0,23.7,70.0,1
1973.0,5.0,3.0,23.3,79.0,0
1973.0,5.0,10.0,24.5,66.0,1
1973.0,5.0,17.0,20.8,77.0,1
1973.0,5.0,18.0,20.2,73.0,0
1973.0,5.0,24.0,23.2,77.0,0
1973.0,5.0,25.0,23.2,71.0,0
1973.0,5.0,27.0,20.6,71.0,0
1973.0,6.0,2.0,21.5,77.0,0
1973.0,6.0,3.0,21.7,71.0,0
1973.0,6.0,4.0,20.8,76.0,0
1973.0,6.0,11.0,20.7,71.0,1
1973.0,6.0,12.0,21.5,73.0,0
1973.0,6.0,13.0,21.8,73.0,0
1973.0,6.0,18.0,20.5,75.0,0
1973.0,6.0,19.0,20.0,78.0,1
1973.0,6.0,20.0,21.8,76.0,1
1973.0,6.0,24.0,20.5,74.0,0
1973.0,6.0,25.0,18.6,81.0,1
1973.0,6.0,26.0,18.4,85.0,0
1973.0,6.0,30.0,23.3,77.0,1
1973.0,7.0,1.0,19.0,74.0,0
1973.0,7.0,2.0,17.0,84.0,0
1973.0,7.0,3.0,15.8,90.0,1
1973.0,7.0,9.0,16.6,76.0,1
1973.0,7.0,10.0,22.0,76.0,0
1973.0,7.0,11.0,20.2,80.0,1
1973.0,7.0,16.0,19.6,76.0,1
1973.0,7.0,18.0,19.5,89.0,1
1973.0,7.0,19.0,21.4,77.0,1
1973.0,7.0,24.0,18.5,81.0,0
1973.0,7.0,25.0,20.0,82.0,0
1973.0,7.0,26.0,20.3,79.0,0
1973.0,7.0,30.0,20.4,80.0,0
1973.0,7.0,31.0,18.3,80.0,1
1973.0,8.0,1.0,19.5,80.0,1
1973.0,8.0,2.0,18.3,85.0,1
1973.0,8.0,3.0,21.3,76.0,0
1973.0,8.0,7.0,17.4,84.0,0
1973.0,8.0,8.0,21.8,82.0,1
1973.0,8.0,9.0,16.8,84.0,0
1973.0,8.0,13.0,18.8,81.0,1
1973.0,8.0,14.0,18.6,80.0,1
1973.0,8.0,16.0,19.3,75.0,1
1973.0,8.0,20.0,17.0,82.0,0
1973.0,8.0,21.0,18.2,78.0,0
1973.0,8.0,22.0,17.0,84.0,1
1973.0,8.0,26.0,22.2,67.0,0
1973.0,8.0,27.0,19.0,81.0,0
1973.0,8.0,28.0,19.7,82.0,1
1973.0,9.0,1.0,18.8,80.0,1
1973.0,9.0,2.0,19.0,78.0,0
1973.0,9.0,3.0,15.8,78.0,1
1973.0,9.0,7.0,19.2,78.0,1
1973.0,9.0,8.0,19.4,78.0,0
1973.0,9.0,9.0,19.2,74.0,1
1973.0,9.0,13.0,16.8,84.0,0
1973.0,9.0,14.0,20.4,80.0,0
1973.0,9.0,15.0,15.8,83.0,1
1973.0,9.0,19.0,20.0,79.0,0
1973.0,9.0,20.0,20.7,76.0,0
1973.0,9.0,30.0,20.4,66.0,1
1973.0,10.0,1.0,20.2,70.0,0
1973.0,10.0,2.0,20.6,66.0,1
1973.0,10.0,4.0,22.2,74.0,1
1973.0,10.0,8.0,20.5,64.0,0
1973.0,10.0,9.0,19.2,62.0,0
1973.0,10.0,10.0,19.7,68.0,1
1973.0,10.0,14.0,17.2,79.0,1
1973.0,10.0,15.0,19.7,71.0,1
1973.0,10.0,16.0,17.5,73.0,0
1973.0,10.0,20.0,15.7,77.0,1
1973.0,10.0,21.0,16.6,71.0,0
1973.0,10.0,22.0,16.6,77.0,0
1973.0,10.0,26.0,17.7,64.0,1
1973.0,10.0,27.0,17.0,67.0,1
1973.0,10.0,28.0,17.0,75.0,0
1973.0,11.0,1.0,16.3,72.0,1
1973.0,11.0,3.0,15.8,73.0,0
1973.0,11.0,7.0,12.8,78.0,0
1973.0,11.0,8.0,17.3,62.0,0
1973.0,11.0,9.0,14.9,71.0,0
1973.0,11.0,15.0,11.8,74.0,0
1973.0,11.0,16.0,10.0,79.0,0
1973.0,11.0,17.0,12.5,76.0,0
1973.0,12.0,1.0,12.2,77.0,0
1973.0,12.0,3.0,14.5,76.0,0
1973.0,12.0,4.0,11.6,75.0,0
1973.0,12.0,9.0,13.2,85.0,0
1973.0,12.0,10.0,17.2,67.0,0
1973.0,12.0,11.0,13.8,73.0,0
1973.0,12.0,15.0,13.4,72.0,0
1973.0,12.0,16.0,17.2,59.0,0
1973.0,12.0,17.0,13.0,73.0,0
1973.0,12.0,22.0,10.4,76.0,0
1973.0,12.0,23.0,11.6,76.0,1
1973.0,12.0,27.0,9.8,74.0,0
1973.0,12.0,29.0,11.8,81.0,0
1973.0,12.0,30.0,12.5,73.0,0
1974.0,1.0,2.0,16.8,64.0,0
1974.0,1.0,3.0,14.0,67.0,0
1974.0,1.0,20.0,10.6,76.0,0
